nuevas,dosis_total_diff,primera_dosis_diff,segunda_dosis_diff,refuerzo_diff,(MSP) UCI Porcentaje Ocupadas,(RPIS) UCI Porcentaje Ocupadas,(RPC) UCI Porcentaje Ocupadas
275,0.0,0.0,0.0,0.0,,,
579,0.0,0.0,0.0,0.0,,,
1389,2874.0,2874.0,0.0,0.0,,,
2465,0.0,0.0,0.0,0.0,,,
687,0.0,0.0,0.0,0.0,,,
3092,0.0,0.0,0.0,0.0,,,
1049,0.0,0.0,0.0,0.0,,,
158,0.0,0.0,0.0,0.0,,,
293,0.0,0.0,0.0,0.0,,,
1111,0.0,0.0,0.0,0.0,,,
949,3246.0,3246.0,0.0,0.0,,,
2073,0.0,0.0,0.0,0.0,,,
1703,0.0,0.0,0.0,0.0,,,
1167,0.0,0.0,0.0,0.0,,,
325,0.0,0.0,0.0,0.0,,,
1176,0.0,0.0,0.0,0.0,,,
293,0.0,0.0,0.0,0.0,,,
2137,0.0,0.0,0.0,0.0,,,
1304,0.0,0.0,0.0,0.0,,,
2010,0.0,0.0,0.0,0.0,,,
1696,0.0,0.0,0.0,0.0,,,
478,0.0,0.0,0.0,0.0,,,
372,0.0,0.0,0.0,0.0,,,
146,1962.0,0.0,1962.0,0.0,,,
1641,0.0,0.0,0.0,0.0,,,
1416,0.0,0.0,0.0,0.0,,,
1821,0.0,0.0,0.0,0.0,,,
1576,0.0,0.0,0.0,0.0,,,
295,0.0,0.0,0.0,0.0,,,
812,0.0,0.0,0.0,0.0,,,
2999,16302.0,14556.0,1746.0,0.0,,,
2390,0.0,0.0,0.0,0.0,,,
1430,0.0,0.0,0.0,0.0,,,
1748,0.0,0.0,0.0,0.0,,,
1808,0.0,0.0,0.0,0.0,,,
212,17622.0,15102.0,2520.0,0.0,,,
358,0.0,0.0,0.0,0.0,,,
2747,0.0,0.0,0.0,0.0,,,
263,17202.0,17202.0,0.0,0.0,,,
1335,11832.0,11832.0,0.0,0.0,,,
1873,0.0,0.0,0.0,0.0,,,
1560,0.0,0.0,0.0,0.0,,,
115,3324.0,3324.0,0.0,0.0,,,
496,786.0,786.0,0.0,0.0,,,
1727,0.0,0.0,0.0,0.0,,,
1116,20657.0,20657.0,0.0,0.0,,,
1259,27261.0,27261.0,0.0,0.0,,,
1450,16183.0,2274.0,13909.0,0.0,,,
1555,0.0,0.0,0.0,0.0,,,
277,1832.0,1832.0,0.0,0.0,,,
356,0.0,0.0,0.0,0.0,,,
2744,0.0,0.0,0.0,0.0,,,
1831,0.0,0.0,0.0,0.0,,,
2214,0.0,0.0,0.0,0.0,,,
1225,0.0,0.0,0.0,0.0,,,
1730,37779.0,19711.0,18068.0,0.0,,,
253,0.0,0.0,0.0,0.0,,,
719,3291.0,2849.0,442.0,0.0,,,
3237,8918.0,8912.0,6.0,0.0,,,
1849,0.0,0.0,0.0,0.0,,,
2795,39591.0,19887.0,19704.0,0.0,,,
1248,4230.0,2229.0,2001.0,0.0,,,
1783,0.0,0.0,0.0,0.0,,,
642,9866.0,7687.0,2179.0,0.0,,,
2201,0.0,0.0,0.0,0.0,,,
1430,0.0,0.0,0.0,0.0,,,
1633,38240.0,22573.0,15667.0,0.0,,,
1650,0.0,0.0,0.0,0.0,,,
1137,0.0,0.0,0.0,0.0,,,
2506,17963.0,6818.0,11145.0,0.0,,,
1096,34024.0,16784.0,17240.0,0.0,,,
925,21690.0,15655.0,6035.0,0.0,,,
1902,0.0,0.0,0.0,0.0,,,
2015,6472.0,6472.0,0.0,0.0,,,
1059,0.0,0.0,0.0,0.0,,,
2199,0.0,0.0,0.0,0.0,,,
1940,0.0,0.0,0.0,0.0,,,
253,0.0,0.0,0.0,0.0,,,
519,0.0,0.0,0.0,0.0,,,
2950,117707.0,87549.0,30158.0,0.0,,,
4892,4170.0,0.0,4170.0,0.0,,,
533,29019.0,15839.0,13180.0,0.0,,,
2193,30981.0,23180.0,7801.0,0.0,,,
2389,9237.0,6894.0,2343.0,0.0,,,
17,23342.0,17778.0,5564.0,0.0,,,
591,23518.0,20066.0,3452.0,0.0,,,
1689,42473.0,35466.0,7007.0,0.0,,,
2550,31808.0,29121.0,2687.0,0.0,,,
5913,35694.0,28330.0,7364.0,0.0,,,
1448,21513.0,17513.0,4000.0,0.0,,,
608,11220.0,9053.0,2167.0,0.0,,,
1413,21552.0,13845.0,7707.0,0.0,,,
554,50686.0,40434.0,10252.0,0.0,,,
2333,45218.0,37722.0,7496.0,0.0,,,
3027,59472.0,57579.0,1893.0,0.0,,,
1173,66587.0,57021.0,9566.0,0.0,,,
2727,49342.0,43801.0,5541.0,0.0,,,
2710,30678.0,30138.0,540.0,0.0,,,
747,0.0,0.0,0.0,0.0,,,
3196,73790.0,67258.0,6532.0,0.0,,,
1806,40823.0,35321.0,5502.0,0.0,,,
2279,33591.0,28699.0,4892.0,0.0,,,
1561,30146.0,28382.0,1764.0,0.0,,,
2033,0.0,0.0,0.0,0.0,,,
1375,44140.0,42501.0,1639.0,0.0,,,
1764,0.0,0.0,0.0,0.0,,,
535,49234.0,42469.0,6765.0,0.0,,,
2037,16502.0,9837.0,6665.0,0.0,,,
1151,50200.0,25470.0,24730.0,0.0,,,
1219,50395.0,36372.0,14023.0,0.0,,,
