provincia,total,acumuladas,lat,lng,mes
Tungurahua,226,683,-1.241667,-78.619722,3
Zamora Chinchipe,18,45,-4.12,-78.8,3
Azuay,306,1255,-2.897414,-79.004481,4
Bolívar,82,271,-1.605556,-79.003056,4
Carchi,49,219,0.81218,-77.71633,4
Cañar,76,327,-2.733333,-78.833333,4
Chimborazo,201,733,-1.674347,-78.64829399999999,4
Cotopaxi,145,553,-0.933333,-78.616667,4
El Oro,238,893,-3.266667,-79.966667,4
Esmeraldas,118,516,1.05,-79.2,4
Galápagos,3,13,-0.799999999999999,-89.4,4
Guayas,1660,7020,-2.183333,-79.883333,4
Imbabura,163,617,0.362678,-78.130667,4
Loja,180,742,-3.983333,-79.2,4
Los Ríos,248,1142,-1.8,-79.533333,4
Manabí,1102,2668,-1.056181,-80.455217,4
Morona Santiago,43,158,-2.3,-78.116667,4
Napo,31,113,-0.989,-77.8159,4
Orellana,42,138,-0.466667,-76.966667,4
Otro,0,1,0.0,0.0,4
Pastaza,18,109,-1.066667,-78.001111,4
Pichincha,1092,3963,-0.218611,-78.509722,4
Santa Elena,91,402,-2.2267,-80.8583,4
Sto. Domingo Tsáchilas,151,646,-0.254167,-79.171944,4
Sucumbíos,62,191,0.084722,-76.882778,4
Tungurahua,234,917,-1.241667,-78.619722,4
Zamora Chinchipe,21,66,-4.12,-78.8,4
Azuay,311,1566,-2.897414,-79.004481,5
Bolívar,67,338,-1.605556,-79.003056,5
Carchi,55,274,0.81218,-77.71633,5
Cañar,91,418,-2.733333,-78.833333,5
Chimborazo,191,924,-1.674347,-78.64829399999999,5
Cotopaxi,149,702,-0.933333,-78.616667,5
El Oro,230,1123,-3.266667,-79.966667,5
Esmeraldas,118,634,1.05,-79.2,5
Galápagos,4,17,-0.799999999999999,-89.4,5
Guayas,1664,8684,-2.183333,-79.883333,5
Imbabura,155,772,0.362678,-78.130667,5
Loja,188,930,-3.983333,-79.2,5
Los Ríos,293,1435,-1.8,-79.533333,5
Manabí,418,3086,-1.056181,-80.455217,5
Morona Santiago,35,193,-2.3,-78.116667,5
Napo,25,138,-0.989,-77.8159,5
Orellana,22,160,-0.466667,-76.966667,5
Otro,0,1,0.0,0.0,5
Pastaza,19,128,-1.066667,-78.001111,5
Pichincha,1049,5012,-0.218611,-78.509722,5
