provincia,poblacion,total,acumuladas,lat,lng,mes
Pastaza,114202,34,68,-1.066667,-78.001111,2
Pichincha,3228233,1148,2360,-0.218611,-78.509722,2
Santa Elena,401178,117,233,-2.2267,-80.8583,2
Sto. Domingo Tsáchilas,511151,202,408,-0.254167,-79.171944,2
Sucumbíos,230503,52,112,0.084722,-76.882778,2
Tungurahua,590600,236,490,-1.241667,-78.619722,2
Zamora Chinchipe,120416,26,52,-4.12,-78.8,2
Azuay,881394,360,1051,-2.897414,-79.004481,3
Bolívar,209933,68,216,-1.605556,-79.003056,3
Carchi,186869,59,173,0.81218,-77.71633,3
Cañar,281396,104,290,-2.733333,-78.833333,3
Chimborazo,524004,232,640,-1.674347,-78.64829399999999,3
Cotopaxi,488716,166,462,-0.933333,-78.616667,3
El Oro,715751,331,865,-3.266667,-79.966667,3
Esmeraldas,591083,129,423,1.05,-79.2,3
Galápagos,33042,3,12,-0.799999999999999,-89.4,3
Guayas,4387434,5473,9181,-2.183333,-79.883333,3
Imbabura,476257,147,490,0.362678,-78.130667,3
Loja,521154,191,585,-3.983333,-79.2,3
Los Ríos,921763,366,955,-1.8,-79.533333,3
Manabí,1562079,632,1801,-1.056181,-80.455217,3
Morona Santiago,196535,48,145,-2.3,-78.116667,3
Napo,133705,15,81,-0.989,-77.8159,3
Orellana,161338,34,106,-0.466667,-76.966667,3
Pastaza,114202,25,93,-1.066667,-78.001111,3
Pichincha,3228233,1131,3491,-0.218611,-78.509722,3
Santa Elena,401178,179,412,-2.2267,-80.8583,3
Sto. Domingo Tsáchilas,511151,191,599,-0.254167,-79.171944,3
Sucumbíos,230503,52,164,0.084722,-76.882778,3
Tungurahua,590600,227,717,-1.241667,-78.619722,3
Zamora Chinchipe,120416,23,75,-4.12,-78.8,3
Azuay,881394,365,1416,-2.897414,-79.004481,4
Bolívar,209933,122,338,-1.605556,-79.003056,4
Carchi,186869,57,230,0.81218,-77.71633,4
Cañar,281396,182,472,-2.733333,-78.833333,4
Chimborazo,524004,374,1014,-1.674347,-78.64829399999999,4
Cotopaxi,488716,188,650,-0.933333,-78.616667,4
El Oro,715751,726,1591,-3.266667,-79.966667,4
Esmeraldas,591083,230,653,1.05,-79.2,4
Galápagos,33042,3,15,-0.799999999999999,-89.4,4
Guayas,4387434,12644,21825,-2.183333,-79.883333,4
Imbabura,476257,180,670,0.362678,-78.130667,4
Loja,521154,197,782,-3.983333,-79.2,4
Los Ríos,921763,954,1909,-1.8,-79.533333,4
Manabí,1562079,1862,3663,-1.056181,-80.455217,4
Morona Santiago,196535,32,177,-2.3,-78.116667,4
Napo,133705,39,120,-0.989,-77.8159,4
Orellana,161338,33,139,-0.466667,-76.966667,4
Pastaza,114202,26,119,-1.066667,-78.001111,4
Pichincha,3228233,1310,4801,-0.218611,-78.509722,4
Santa Elena,401178,1184,1596,-2.2267,-80.8583,4
Sto. Domingo Tsáchilas,511151,254,853,-0.254167,-79.171944,4
Sucumbíos,230503,58,222,0.084722,-76.882778,4
Tungurahua,590600,287,1004,-1.241667,-78.619722,4
Zamora Chinchipe,120416,26,101,-4.12,-78.8,4
Azuay,881394,378,1794,-2.897414,-79.004481,5
Bolívar,209933,104,442,-1.605556,-79.003056,5
Carchi,186869,69,299,0.81218,-77.71633,5
Cañar,281396,101,573,-2.733333,-78.833333,5
Chimborazo,524004,307,1321,-1.674347,-78.64829399999999,5
Cotopaxi,488716,201,851,-0.933333,-78.616667,5
El Oro,715751,729,2320,-3.266667,-79.966667,5
Esmeraldas,591083,339,992,1.05,-79.2,5
Galápagos,33042,1,16,-0.799999999999999,-89.4,5
Guayas,4387434,2672,24497,-2.183333,-79.883333,5
Imbabura,476257,183,853,0.362678,-78.130667,5
Loja,521154,230,1012,-3.983333,-79.2,5
Los Ríos,921763,630,2539,-1.8,-79.533333,5
Manabí,1562079,1364,5027,-1.056181,-80.455217,5
Morona Santiago,196535,52,229,-2.3,-78.116667,5
Napo,133705,70,190,-0.989,-77.8159,5
Orellana,161338,44,183,-0.466667,-76.966667,5
Pastaza,114202,25,144,-1.066667,-78.001111,5
Pichincha,3228233,1592,6393,-0.218611,-78.509722,5
Santa Elena,401178,401,1997,-2.2267,-80.8583,5
Sto. Domingo Tsáchilas,511151,296,1149,-0.254167,-79.171944,5
Sucumbíos,230503,74,296,0.084722,-76.882778,5
Tungurahua,590600,393,1397,-1.241667,-78.619722,5
Zamora Chinchipe,120416,29,130,-4.12,-78.8,5
Azuay,881394,384,2178,-2.897414,-79.004481,6
Bolívar,209933,103,545,-1.605556,-79.003056,6
Carchi,186869,75,374,0.81218,-77.71633,6
Cañar,281396,97,670,-2.733333,-78.833333,6
Chimborazo,524004,319,1640,-1.674347,-78.64829399999999,6
Cotopaxi,488716,300,1151,-0.933333,-78.616667,6
El Oro,715751,474,2794,-3.266667,-79.966667,6
Esmeraldas,591083,306,1298,1.05,-79.2,6
Galápagos,33042,7,23,-0.799999999999999,-89.4,6
Guayas,4387434,1858,26355,-2.183333,-79.883333,6
Imbabura,476257,245,1098,0.362678,-78.130667,6
Loja,521154,249,1261,-3.983333,-79.2,6
Los Ríos,921763,457,2996,-1.8,-79.533333,6
Manabí,1562079,837,5864,-1.056181,-80.455217,6
Morona Santiago,196535,72,301,-2.3,-78.116667,6
Napo,133705,88,278,-0.989,-77.8159,6
Orellana,161338,86,269,-0.466667,-76.966667,6
Pastaza,114202,47,191,-1.066667,-78.001111,6
Pichincha,3228233,1866,8259,-0.218611,-78.509722,6
Santa Elena,401178,147,2144,-2.2267,-80.8583,6
Sto. Domingo Tsáchilas,511151,400,1549,-0.254167,-79.171944,6
Sucumbíos,230503,105,401,0.084722,-76.882778,6
Tungurahua,590600,535,1932,-1.241667,-78.619722,6
Zamora Chinchipe,120416,49,179,-4.12,-78.8,6
Azuay,881394,488,2666,-2.897414,-79.004481,7
Bolívar,209933,119,664,-1.605556,-79.003056,7
Carchi,186869,109,483,0.81218,-77.71633,7
Cañar,281396,156,826,-2.733333,-78.833333,7
Chimborazo,524004,451,2091,-1.674347,-78.64829399999999,7
Cotopaxi,488716,309,1460,-0.933333,-78.616667,7
El Oro,715751,438,3232,-3.266667,-79.966667,7
Esmeraldas,591083,240,1538,1.05,-79.2,7
Galápagos,33042,2,25,-0.799999999999999,-89.4,7
Guayas,4387434,2050,28405,-2.183333,-79.883333,7
Imbabura,476257,330,1428,0.362678,-78.130667,7
Loja,521154,350,1611,-3.983333,-79.2,7
Los Ríos,921763,442,3438,-1.8,-79.533333,7
Manabí,1562079,875,6739,-1.056181,-80.455217,7
Morona Santiago,196535,77,378,-2.3,-78.116667,7
Napo,133705,62,340,-0.989,-77.8159,7
Orellana,161338,85,354,-0.466667,-76.966667,7
Pastaza,114202,67,258,-1.066667,-78.001111,7
Pichincha,3228233,2875,11134,-0.218611,-78.509722,7
Santa Elena,401178,120,2264,-2.2267,-80.8583,7
Sto. Domingo Tsáchilas,511151,437,1986,-0.254167,-79.171944,7
Sucumbíos,230503,180,581,0.084722,-76.882778,7
Tungurahua,590600,619,2551,-1.241667,-78.619722,7
Zamora Chinchipe,120416,45,224,-4.12,-78.8,7
Azuay,881394,641,3307,-2.897414,-79.004481,8
Bolívar,209933,114,778,-1.605556,-79.003056,8
Carchi,186869,139,622,0.81218,-77.71633,8
Cañar,281396,180,1006,-2.733333,-78.833333,8
Chimborazo,524004,366,2457,-1.674347,-78.64829399999999,8
Cotopaxi,488716,256,1716,-0.933333,-78.616667,8
El Oro,715751,401,3633,-3.266667,-79.966667,8
Esmeraldas,591083,178,1716,1.05,-79.2,8
Galápagos,33042,6,31,-0.799999999999999,-89.4,8
Guayas,4387434,2074,30479,-2.183333,-79.883333,8
Imbabura,476257,391,1819,0.362678,-78.130667,8
Loja,521154,389,2000,-3.983333,-79.2,8
Los Ríos,921763,402,3840,-1.8,-79.533333,8
Manabí,1562079,846,7585,-1.056181,-80.455217,8
Morona Santiago,196535,72,450,-2.3,-78.116667,8
Napo,133705,63,403,-0.989,-77.8159,8
Orellana,161338,57,411,-0.466667,-76.966667,8
Pastaza,114202,45,303,-1.066667,-78.001111,8
Pichincha,3228233,2463,13597,-0.218611,-78.509722,8
Santa Elena,401178,164,2428,-2.2267,-80.8583,8
Sto. Domingo Tsáchilas,511151,322,2308,-0.254167,-79.171944,8
Sucumbíos,230503,108,689,0.084722,-76.882778,8
Tungurahua,590600,405,2956,-1.241667,-78.619722,8
Zamora Chinchipe,120416,58,282,-4.12,-78.8,8
Azuay,881394,541,3848,-2.897414,-79.004481,9
Bolívar,209933,80,858,-1.605556,-79.003056,9
Carchi,186869,116,738,0.81218,-77.71633,9
Cañar,281396,140,1146,-2.733333,-78.833333,9
Chimborazo,524004,268,2725,-1.674347,-78.64829399999999,9
Cotopaxi,488716,219,1935,-0.933333,-78.616667,9
El Oro,715751,429,4062,-3.266667,-79.966667,9
Esmeraldas,591083,155,1871,1.05,-79.2,9
Galápagos,33042,5,36,-0.799999999999999,-89.4,9
Guayas,4387434,1871,32350,-2.183333,-79.883333,9
Imbabura,476257,269,2088,0.362678,-78.130667,9
Loja,521154,293,2293,-3.983333,-79.2,9
Los Ríos,921763,323,4163,-1.8,-79.533333,9
Manabí,1562079,711,8296,-1.056181,-80.455217,9
Morona Santiago,196535,56,506,-2.3,-78.116667,9
Napo,133705,36,439,-0.989,-77.8159,9
Orellana,161338,40,451,-0.466667,-76.966667,9
Pastaza,114202,31,334,-1.066667,-78.001111,9
Pichincha,3228233,1771,15368,-0.218611,-78.509722,9
Santa Elena,401178,107,2535,-2.2267,-80.8583,9
Sto. Domingo Tsáchilas,511151,238,2546,-0.254167,-79.171944,9
Sucumbíos,230503,61,750,0.084722,-76.882778,9
Tungurahua,590600,304,3260,-1.241667,-78.619722,9
Zamora Chinchipe,120416,27,309,-4.12,-78.8,9
Azuay,881394,486,4334,-2.897414,-79.004481,10
Bolívar,209933,73,931,-1.605556,-79.003056,10
Carchi,186869,76,814,0.81218,-77.71633,10
Cañar,281396,150,1296,-2.733333,-78.833333,10
Chimborazo,524004,238,2963,-1.674347,-78.64829399999999,10
Cotopaxi,488716,195,2130,-0.933333,-78.616667,10
El Oro,715751,336,4398,-3.266667,-79.966667,10
Esmeraldas,591083,142,2013,1.05,-79.2,10
Galápagos,33042,4,40,-0.799999999999999,-89.4,10
Guayas,4387434,2097,34447,-2.183333,-79.883333,10
Imbabura,476257,206,2294,0.362678,-78.130667,10
Loja,521154,214,2507,-3.983333,-79.2,10
Los Ríos,921763,356,4519,-1.8,-79.533333,10
Manabí,1562079,755,9051,-1.056181,-80.455217,10
Morona Santiago,196535,53,559,-2.3,-78.116667,10
Napo,133705,38,477,-0.989,-77.8159,10
Orellana,161338,43,494,-0.466667,-76.966667,10
Pastaza,114202,30,364,-1.066667,-78.001111,10
Pichincha,3228233,1413,16781,-0.218611,-78.509722,10
Santa Elena,401178,141,2676,-2.2267,-80.8583,10
Sto. Domingo Tsáchilas,511151,216,2762,-0.254167,-79.171944,10
Sucumbíos,230503,68,818,0.084722,-76.882778,10
Tungurahua,590600,301,3561,-1.241667,-78.619722,10
Zamora Chinchipe,120416,19,328,-4.12,-78.8,10
Azuay,881394,430,4764,-2.897414,-79.004481,11
Bolívar,209933,78,1009,-1.605556,-79.003056,11
Carchi,186869,64,878,0.81218,-77.71633,11
Cañar,281396,113,1409,-2.733333,-78.833333,11
Chimborazo,524004,234,3197,-1.674347,-78.64829399999999,11
Cotopaxi,488716,211,2341,-0.933333,-78.616667,11
El Oro,715751,321,4719,-3.266667,-79.966667,11
Esmeraldas,591083,135,2148,1.05,-79.2,11
Galápagos,33042,6,46,-0.799999999999999,-89.4,11
Guayas,4387434,2115,36562,-2.183333,-79.883333,11
Imbabura,476257,188,2482,0.362678,-78.130667,11
Loja,521154,205,2712,-3.983333,-79.2,11
Los Ríos,921763,346,4865,-1.8,-79.533333,11
Manabí,1562079,776,9827,-1.056181,-80.455217,11
Morona Santiago,196535,46,605,-2.3,-78.116667,11
Napo,133705,36,513,-0.989,-77.8159,11
Orellana,161338,51,545,-0.466667,-76.966667,11
Pastaza,114202,25,389,-1.066667,-78.001111,11
Pichincha,3228233,1347,18128,-0.218611,-78.509722,11
Santa Elena,401178,188,2864,-2.2267,-80.8583,11
Sto. Domingo Tsáchilas,511151,187,2949,-0.254167,-79.171944,11
Sucumbíos,230503,62,880,0.084722,-76.882778,11
Tungurahua,590600,259,3820,-1.241667,-78.619722,11
Zamora Chinchipe,120416,31,359,-4.12,-78.8,11
Azuay,881394,420,5184,-2.897414,-79.004481,12
Bolívar,209933,103,1112,-1.605556,-79.003056,12
Carchi,186869,100,978,0.81218,-77.71633,12
Cañar,281396,120,1529,-2.733333,-78.833333,12
Chimborazo,524004,232,3429,-1.674347,-78.64829399999999,12
Cotopaxi,488716,223,2564,-0.933333,-78.616667,12
El Oro,715751,320,5039,-3.266667,-79.966667,12
Esmeraldas,591083,150,2298,1.05,-79.2,12
Galápagos,33042,5,51,-0.799999999999999,-89.4,12
Guayas,4387434,2106,38668,-2.183333,-79.883333,12
Imbabura,476257,228,2710,0.362678,-78.130667,12
Loja,521154,229,2941,-3.983333,-79.2,12
Los Ríos,921763,333,5198,-1.8,-79.533333,12
Manabí,1562079,731,10558,-1.056181,-80.455217,12
Morona Santiago,196535,56,661,-2.3,-78.116667,12
Napo,133705,45,558,-0.989,-77.8159,12
Orellana,161338,36,581,-0.466667,-76.966667,12
Pastaza,114202,32,421,-1.066667,-78.001111,12
Pichincha,3228233,1533,19661,-0.218611,-78.509722,12
Santa Elena,401178,166,3030,-2.2267,-80.8583,12
Sto. Domingo Tsáchilas,511151,236,3185,-0.254167,-79.171944,12
Sucumbíos,230503,55,935,0.084722,-76.882778,12
Tungurahua,590600,325,4145,-1.241667,-78.619722,12
Zamora Chinchipe,120416,17,376,-4.12,-78.8,12
